# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
51 9.88792487000000e+00 3.69081869372864e-01 3.78103683000000e+00 3.78103683000000e+00 2.51752189375715e+00
52 -3.90499513000000e+00 1.65961541929424e-01 3.81578728000000e+00 3.81578728000000e+00 -1.06687201701910e+00
53 -6.21530063000000e+00 -4.91828651435019e-02 3.85218582000000e+00 3.85218582000000e+00 -1.60068025089623e+00
54 4.85101579000000e+00 -2.76208307225853e-01 3.89003935000000e+00 3.89003935000000e+00 1.31803913428944e+00
55 -1.18801984000000e+00 -5.15341014505295e-01 3.92915511000000e+00 3.92915511000000e+00 -1.71201901340745e-01
56 -9.06159524000000e+00 -7.67450110235928e-01 3.96979598000000e+00 3.96979598000000e+00 -2.08931269303267e+00
57 -6.99891695000000e+00 -1.03341379283328e+00 4.01202517000000e+00 4.01202517000000e+00 -1.48690571579009e+00
58 -3.77610963000000e+00 -1.31343385932067e+00 4.05561261000000e+00 4.05561261000000e+00 -6.07226578940766e-01
59 2.52782370000000e+00 -1.60742485529097e+00 4.10033386000000e+00 4.10033386000000e+00 1.00851508596204e+00
60 -2.92718145000000e+00 -1.91488567942666e+00 4.14627518000000e+00 4.14627518000000e+00 -2.44145824053419e-01
61 -6.86629128000000e+00 -2.23534476867260e+00 4.19363593000000e+00 4.19363593000000e+00 -1.10427957710850e+00
62 -6.60747906000000e+00 -2.56880503623794e+00 4.24241659000000e+00 4.24241659000000e+00 -9.51974879902603e-01
63 5.83482457000000e-01 -2.91540284179010e+00 4.29250249000000e+00 4.29250249000000e+00 8.15115496599303e-01
64 -6.21629817000000e+00 -3.27526710274189e+00 4.34385157000000e+00 4.34385157000000e+00 -6.77056068759298e-01
65 -2.02723498000000e+00 -3.64858609201429e+00 4.39642346000000e+00 4.39642346000000e+00 3.68788658955588e-01
66 -3.19584529000000e+00 -4.03557195165526e+00 4.45017002000000e+00 4.45017002000000e+00 1.88695411159877e-01
67 -4.54583446000000e-02 -4.43569369116115e+00 4.50505350000000e+00 4.50505350000000e+00 9.74513476157642e-01
68 -5.43046595000000e+00 -4.84822896077327e+00 4.56102621000000e+00 4.56102621000000e+00 -1.27654822055216e-01
69 8.84081322000000e-01 -5.27248508602418e+00 4.61804798000000e+00 4.61804798000000e+00 1.33315340912161e+00
70 -4.39243701000000e+00 -5.70796234884127e+00 4.67606980000000e+00 4.67606980000000e+00 2.81331416148079e-01
71 -5.47252669000000e+00 -6.15447664422233e+00 4.73505069000000e+00 4.73505069000000e+00 1.44021679781074e-01
72 -7.25492298000000e+00 -6.61293564504522e+00 4.79495044000000e+00 4.79495044000000e+00 -1.33888210730866e-01
73 -1.06818614000000e+01 -7.08430287823689e+00 4.85572963000000e+00 4.85572963000000e+00 -7.40889381389036e-01
74 -1.49066232000000e+01 -7.56847313028464e+00 4.91734779000000e+00 4.91734779000000e+00 -1.49229836552101e+00
75 -2.18629498000000e+00 -8.06500720601481e+00 4.97977316000000e+00 4.97977316000000e+00 1.18051807524799e+00
76 -1.16435335000000e+01 -8.57336988926605e+00 5.04296681000000e+00 5.04296681000000e+00 -6.08801074130795e-01
