# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
117 1.33627942000000e+00 9.95962445767634e-01 2.64193231000000e-01 2.64193231000000e-01 1.28813661479603e+00
118 9.77910059000000e-01 1.00623159732853e+00 2.66185376000000e-01 2.66185376000000e-01 -1.06397799736870e-01
119 1.30914217000000e+00 1.01612398891175e+00 2.68136163000000e-01 2.68136163000000e-01 1.09279620402506e+00
120 1.25286353000000e+00 1.02563207621904e+00 2.70045309000000e-01 2.70045309000000e-01 8.41456771170807e-01
121 1.25644232000000e+00 1.03474089557119e+00 2.71912296000000e-01 2.71912296000000e-01 8.15341666008386e-01
122 9.46028671000000e-01 1.04344290744064e+00 2.73736788000000e-01 2.73736788000000e-01 -3.55868267295669e-01
123 8.78420827000000e-01 1.05173057460276e+00 2.75518395000000e-01 2.75518395000000e-01 -6.29031493896293e-01
124 1.21830614000000e+00 1.05958894028925e+00 2.77256753000000e-01 2.77256753000000e-01 5.72455667872405e-01
125 1.30317698000000e+00 1.06701789349227e+00 2.78951511000000e-01 2.78951511000000e-01 8.46595473389391e-01
126 8.89956623000000e-01 1.07400248173872e+00 2.80602279000000e-01 2.80602279000000e-01 -6.55895808810312e-01
127 1.17025288000000e+00 1.08054259817209e+00 2.82208794000000e-01 2.82208794000000e-01 3.17886202468618e-01
128 1.37985554000000e+00 1.08662329432175e+00 2.83770650000000e-01 2.83770650000000e-01 1.03334240407968e+00
129 1.43955542000000e+00 1.09224446717077e+00 2.85287527000000e-01 2.85287527000000e-01 1.21740672114707e+00
130 5.58780866000000e-01 1.09739117191829e+00 2.86759119000000e-01 2.86759119000000e-01 -1.87826740365420e+00
131 6.69099194000000e-01 1.10206337021322e+00 2.88185154000000e-01 2.88185154000000e-01 -1.50238195897219e+00
132 9.17137630000000e-01 1.10626126999969e+00 2.89565469000000e-01 2.89565469000000e-01 -6.53129120170379e-01
133 1.06845570000000e+00 1.10997029832304e+00 2.90900612000000e-01 2.90900612000000e-01 -1.42710591214036e-01
