# ell mean_D_TT_uK2 mean_D_TE_uK2 mean_D_EE_uK2 mean_C_TT_uK2 mean_C_TE_uK2 mean_C_EE_uK2 draw_D_TT_uK2 draw_D_TE_uK2 draw_D_EE_uK2 draw_C_TT_uK2 draw_C_TE_uK2 draw_C_EE_uK2 TT_D_68_lower_uK2 TT_D_68_upper_uK2 TT_D_95_lower_uK2 TT_D_95_upper_uK2 EE_D_68_lower_uK2 EE_D_68_upper_uK2 EE_D_95_lower_uK2 EE_D_95_upper_uK2 sigma_D_TT_uK2 sigma_D_TE_uK2 sigma_D_EE_uK2 cov_D_TT_TT_uK4 cov_D_TT_TE_uK4 cov_D_TT_EE_uK4 cov_D_TE_TE_uK4 cov_D_TE_EE_uK4 cov_D_EE_EE_uK4
12 8.22706099990600e+02 8.12907840827500e-01 2.27866947410800e-03 3.31359928178715e+01 3.27413500101181e-02 9.17775805104745e-05 5.55085249539579e+02 7.41450946539344e-01 2.61560794162487e-03 2.23570736162769e+01 2.98632929057077e-02 1.05348393513844e-04 5.94194524674681e+02 1.05081382003557e+03 4.31746947787406e+02 1.33760392353320e+03 1.64575530079791e-03 2.91046507946547e-03 1.19582022118677e-03 3.70479473658578e-03 2.32696424890756e+02 3.18464719169320e-01 6.44505054889820e-04 5.41476261569395e+04 5.35027391503178e+01 5.28655326143062e-02 1.01419777355594e-01 1.48187862572534e-04 4.15386765778530e-07
13 8.29143649268000e+02 8.55267283825900e-01 2.19581321236900e-03 2.86245230473734e+01 2.95263891837708e-02 7.58060511718006e-05 7.63946244772765e+02 6.56808881087355e-01 1.56672347796487e-03 2.63737133001717e+01 2.26750105015007e-02 5.40879886657262e-05 6.07319407409703e+02 1.05058534004013e+03 4.47534360726399e+02 1.32646127595649e+03 1.60835818991758e-03 2.78225512843030e-03 1.18520097589809e-03 3.51285473634456e-03 2.25664318241753e+02 3.07446273945333e-01 5.97624660085072e-04 5.09243845275153e+04 5.25288471711805e+01 5.41838612431802e-02 9.45232113628687e-02 1.39111644587545e-04 3.57155234341798e-07
14 8.36744983214400e+02 9.08413554116300e-01 2.28745172460300e-03 2.50353513542331e+01 2.71796699812682e-02 6.84403955567056e-05 5.86891651788024e+02 5.43420670243203e-01 1.71636352329304e-03 1.75597571591470e+01 1.62591084328084e-02 5.13534765301609e-05 6.20561456804852e+02 1.05256447985198e+03 4.63010577116496e+02 1.31923769888752e+03 1.69645997653587e-03 2.87744830622586e-03 1.26575523532381e-03 3.60646625915691e-03 2.19739997918303e+02 3.07337225783065e-01 6.00714252592881e-04 4.82856666851356e+04 5.24214126959156e+01 5.69113920898074e-02 9.44561703520309e-02 1.43307044897660e-04 3.60857613268223e-07
15 8.44463699760400e+02 9.64812411049800e-01 2.47225287240300e-03 2.21080079615877e+01 2.52587298553859e-02 6.47234288479794e-05 9.79447445769255e+02 1.16781223157270e+00 2.78753569173360e-03 2.56418741683832e+01 3.05732527290091e-02 7.29775137564134e-05 6.33286234007464e+02 1.05529370675460e+03 4.77768647472363e+02 1.31387354623761e+03 1.85400948734972e-03 3.08947903680537e-03 1.39871602697994e-03 3.84649766423575e-03 2.14493994233243e+02 3.12047907606449e-01 6.27952857543534e-04 4.60076735621305e+04 5.25644553683784e+01 6.00556766784341e-02 9.73738966415626e-02 1.53887758357931e-04 3.94324791297089e-07
16 8.54079286790800e+02 1.02598728444700e+00 2.73021983620500e-03 1.97291853894499e+01 2.37002508492297e-02 6.30679307360791e-05 1.05167286953965e+03 1.46677614971718e+00 3.50737069467558e-03 2.42935864773930e+01 3.38824498265604e-02 8.10200735868304e-05 6.46937303483228e+02 1.06088800690376e+03 4.92950274920533e+02 1.31282546077017e+03 2.06805279798750e-03 3.39132153798514e-03 1.57580524392275e-03 4.19668544818327e-03 2.10259785651289e+02 3.20249624149236e-01 6.72133660679646e-04 4.42091774621262e+04 5.31075447367832e+01 6.37969641119351e-02 1.02559821767727e-01 1.69767929435836e-04 4.51763657818622e-07
17 8.65440423764300e+02 1.08940823151600e+00 3.10394848675500e-03 1.77703351465200e+01 2.23691300450387e-02 6.37342598896122e-05 6.50247519079855e+02 8.80901508197883e-01 3.29737512473286e-03 1.33517178363154e+01 1.80878020045140e-02 6.77059442352319e-05 6.61512392703096e+02 1.06904739674048e+03 5.08616286510840e+02 1.31555224308335e+03 2.37254966825962e-03 3.83419581321256e-03 1.82417958475699e-03 4.71829866278329e-03 2.06879830831515e+02 3.32655668763389e-01 7.41985606653955e-04 4.27992644048761e+04 5.38753098020299e+01 6.78177311368468e-02 1.10659793960418e-01 1.93226687524145e-04 5.50542640481637e-07
18 8.77402995900300e+02 1.15382110492400e+00 3.63710846636400e-03 1.61195485740237e+01 2.11978707999187e-02 6.68205452528560e-05 6.59812529405538e+02 6.85731734279413e-01 2.29258352402408e-03 1.21220011410932e+01 1.25981858406175e-02 4.21190851275734e-05 6.76219832298812e+02 1.07827598651445e+03 5.24203878309870e+02 1.32008774372326e+03 2.80314164491037e-03 4.46978952425908e-03 2.17298820816691e-03 5.47217450985862e-03 2.03992053000326e+02 3.49614189170668e-01 8.45610542139938e-04 4.16127576872877e+04 5.47224915780169e+01 7.19623320090833e-02 1.22230081269464e-01 2.26841757264246e-04 7.15057188978199e-07
19 8.90725836264600e+02 1.22241056254700e+00 4.33331577052900e-03 1.47278828609026e+01 2.02121896998327e-02 7.16500683704142e-05 6.76707594216548e+02 9.46428304187614e-01 3.39081494207598e-03 1.11891558243112e+01 1.56489063557119e-02 5.60661016405706e-05 6.91703536559471e+02 1.08944743979301e+03 5.40244051867598e+02 1.32741125156223e+03 3.36508690044715e-03 5.30008177579692e-03 2.62824763196485e-03 6.45775824185650e-03 2.01709681624329e+02 3.70518828786570e-01 9.81302785733316e-04 4.06867956609883e+04 5.58375728504286e+01 7.66301324834089e-02 1.37284202485372e-01 2.71645690704930e-04 9.62955157287966e-07
20 9.03797941818000e+02 1.29014565617100e+00 5.17007189914600e-03 1.35207855921191e+01 1.93005338832743e-02 7.73440947470862e-05 9.59444593262044e+02 1.37586558454456e+00 4.77993764403865e-03 1.43532575510404e+01 2.05829010130105e-02 7.15076999387101e-05 7.06761552854822e+02 1.10054239839650e+03 5.55825123147749e+02 1.33498829486032e+03 4.04294795854638e-03 6.29552587420505e-03 3.17953351857070e-03 7.63664658835442e-03 1.99615571956534e+02 3.93147901035585e-01 1.14187785947875e-03 3.98463765675343e+04 5.68795604240382e+01 8.11939421530195e-02 1.54565272088686e-01 3.25372965989023e-04 1.30388504596776e-06
21 9.17316467331100e+02 1.36161166115500e+00 6.14090846586400e-03 1.24754747826161e+01 1.85178752888604e-02 8.35161598386394e-05 8.91964838227928e+02 1.27673961280930e+00 5.07492924139227e-03 1.21306934330618e+01 1.73636181305142e-02 6.90188762867791e-05 7.21967017328034e+02 1.11238190308784e+03 5.71410809434221e+02 1.34376954445862e+03 4.83315576104669e-03 7.44675985793724e-03 3.82526816219714e-03 8.99576761741226e-03 1.97833557154988e+02 4.17276406521638e-01 1.32438237972518e-03 3.91381163365958e+04 5.80943627389551e+01 8.62319216648037e-02 1.74119599439611e-01 3.88908491963064e-04 1.75398868772652e-06
22 9.31309901756400e+02 1.43716059941400e+00 7.25674921110200e-03 1.15644124330962e+01 1.78457437990029e-02 9.01096838361327e-05 1.10378858018214e+03 1.21570067341415e+00 6.82743675461719e-03 1.37061426664685e+01 1.50957956702058e-02 8.47787555381593e-05 7.37372817207520e+02 1.12497013309029e+03 5.87059522314202e+02 1.35371397247718e+03 5.74559510155230e-03 8.76574608561568e-03 4.57435673924340e-03 1.05481137731971e-02 1.96337366467858e+02 4.42812049002239e-01 1.52985706104749e-03 3.85483614715340e+04 5.94863065177076e+01 9.17969150448004e-02 1.96082510741561e-01 4.63516179823308e-04 2.34046262723687e-06
23 9.45392348301000e+02 1.51412082510100e+00 8.50977137698900e-03 1.07610060006610e+01 1.72346045680602e-02 9.68631711654976e-05 1.06494359545805e+03 2.30963824993143e+00 1.01808733706115e-02 1.21218078839801e+01 2.62896469508498e-02 1.15884626768989e-04 7.52697962849730e+02 1.13781647883593e+03 6.02560812380578e+02 1.36419405778161e+03 6.77526911582026e-03 1.02418409893683e-02 5.42383779951951e-03 1.22795361803291e-02 1.95019550817629e+02 4.68987923870314e-01 1.75543179980628e-03 3.80326252011098e+04 6.09122656363269e+01 9.75558243831716e-02 2.19949672736187e-01 5.48290300372232e-04 3.08154080377112e-06
24 9.59883866784300e+02 1.58908527699500e+00 9.89707188525800e-03 1.00518803472964e+01 1.66408621071173e-02 1.03641894422589e-04 9.89858889169692e+02 1.03515254599294e+00 7.41832470169215e-03 1.03657780476869e+01 1.08400921127873e-02 7.76845146159325e-05 7.68216367011576e+02 1.15128711917614e+03 6.18143984290622e+02 1.37561962998113e+03 7.92084633448042e-03 1.18705728613087e-02 6.37349544008832e-03 1.41835974494555e-02 1.93925826101355e+02 4.95391653934827e-01 1.99951046970190e-03 3.76072260290931e+04 6.22586661359984e+01 1.03069061941317e-01 2.45412890788284e-01 6.41930253805087e-04 3.99804211844752e-06
25 9.74918259093400e+02 1.65427186567100e+00 1.14232640026900e-02 9.42398781728731e+00 1.59909179699455e-02 1.10422283910362e-04 7.31695895594207e+02 1.41789854853484e+00 1.01427756416050e-02 7.07289369310943e+00 1.37060297341929e-02 9.80445213620796e-05 7.84054666932422e+02 1.16552304655673e+03 6.33922177165029e+02 1.38813052481014e+03 9.18688656138112e-03 1.36566089903969e-02 7.42776157834007e-03 1.62649343236679e-02 1.93062583768885e+02 5.21561833610142e-01 2.26214335700748e-03 3.72731612515179e+04 6.32462685234181e+01 1.07318251198063e-01 2.72026746278774e-01 7.41066049167936e-04 5.11729256765307e-06
26 9.90005225989800e+02 1.71333275357500e+00 1.31006505059300e-02 8.86094913101156e+00 1.53350244780228e-02 1.17256146400789e-04 1.06794717438745e+03 1.56519153639258e+00 1.44491020675163e-02 9.55856124637486e+00 1.40091003766149e-02 1.29325335915323e-04 7.99834775786855e+02 1.17992193200605e+03 6.49599001344573e+02 1.40098561580542e+03 1.05841419671258e-02 1.56138012706331e-02 8.59608541672898e-03 1.85391172032975e-02 1.92315615932740e+02 5.47812486669593e-01 2.54489532481867e-03 3.69852961315892e+04 6.40078633924054e+01 1.10773929225392e-01 3.00098520551123e-01 8.47010324715048e-04 6.47649221428392e-06
27 1.00555336777700e+03 1.76707539711400e+00 1.49401440610500e-02 8.35724622486957e+00 1.46863256241074e-02 1.24168906946476e-04 9.16535915939943e+02 6.05835905819460e-01 1.65510776786704e-02 7.61741402187333e+00 5.03515775397707e-03 1.37557523926733e-04 8.15898900306325e+02 1.19495870528660e+03 6.65458968034324e+02 1.41473068655492e+03 1.21223273676430e-02 1.77542592726384e-02 9.88714589174873e-03 2.10195509676877e-02 1.91751503533057e+02 5.74387699835825e-01 2.84897368803018e-03 3.67686391071879e+04 6.46141315157768e+01 1.13547471239476e-01 3.29921229722690e-01 9.60013127258920e-04 8.11665107508828e-06
