# ell mean_D_TT_uK2 mean_D_TE_uK2 mean_D_EE_uK2 mean_C_TT_uK2 mean_C_TE_uK2 mean_C_EE_uK2 draw_D_TT_uK2 draw_D_TE_uK2 draw_D_EE_uK2 draw_C_TT_uK2 draw_C_TE_uK2 draw_C_EE_uK2 TT_D_68_lower_uK2 TT_D_68_upper_uK2 TT_D_95_lower_uK2 TT_D_95_upper_uK2 EE_D_68_lower_uK2 EE_D_68_upper_uK2 EE_D_95_lower_uK2 EE_D_95_upper_uK2 sigma_D_TT_uK2 sigma_D_TE_uK2 sigma_D_EE_uK2 cov_D_TT_TT_uK4 cov_D_TT_TE_uK4 cov_D_TT_EE_uK4 cov_D_TE_TE_uK4 cov_D_TE_EE_uK4 cov_D_EE_EE_uK4
742 2.16107423897500e+03 -1.33468713304500e+02 3.00701857289900e+01 2.46295703403410e-02 -1.52113102052762e-03 3.42707224584081e-04 2.10319195969682e+03 -1.22239640972127e+02 3.04643521790135e+01 2.39698911663311e-02 -1.39315428475470e-03 3.47199504456549e-04 2.08221200595331e+03 2.23991508368577e+03 2.00840663927373e+03 2.31925475320173e+03 2.89728601715442e+01 3.11672136795928e+01 2.79458981894774e+01 3.22711825090733e+01 7.93088143619833e+01 7.46700040610888e+00 1.10353949660793e+00 6.28988803550354e+03 -3.88465721254538e+02 2.39917810520657e+01 5.57560950648301e+01 -5.40529157989984e+00 1.21779942057368e+00
743 2.16934458689400e+03 -1.33662729099400e+02 2.98176287677800e+01 2.46573648579971e-02 -1.51924719531917e-03 3.38915336995924e-04 2.19728032281110e+03 -1.31539172856013e+02 3.06143781349136e+01 2.49748900853151e-02 -1.49511027331701e-03 3.47971408569099e-04 2.09023378971513e+03 2.24843394270664e+03 2.01619394536091e+03 2.32802179819412e+03 2.87302513192853e+01 3.09047115048203e+01 2.77125740879612e+01 3.19986461170006e+01 7.95587692392225e+01 7.45082225851445e+00 1.09353482186670e+00 6.32959776285985e+03 -3.89993971541712e+02 2.40292201080021e+01 5.55147523279744e+01 -5.36046487743679e+00 1.19581840663503e+00
744 2.17761084163800e+03 -1.33820868596000e+02 2.95629355091300e+01 2.46848748735925e-02 -1.51696131081114e-03 3.35118355394500e-04 2.10965834795739e+03 -1.28677716547056e+02 2.99344427612839e+01 2.39145816826417e-02 -1.45865977118042e-03 3.39329672613674e-04 2.09825192773034e+03 2.25694826130666e+03 2.02397801655167e+03 2.33678384463983e+03 2.84855701649337e+01 3.06400090505903e+01 2.74772380955847e+01 3.17238455912079e+01 7.98082740990350e+01 7.43381785599620e+00 1.08346579433358e+00 6.36936061466670e+03 -3.91416755261335e+02 2.40537607411523e+01 5.52616479161279e+01 -5.31381827814548e+00 1.17389812749091e+00
745 2.18587324408000e+03 -1.33943157214400e+02 2.93062486795500e+01 2.47121050984408e-02 -1.51427690844551e-03 3.31317975262968e-04 2.21018408645625e+03 -1.31220200759548e+02 2.88596231570017e+01 2.49869481587420e-02 -1.48349287910025e-03 3.26268708621935e-04 2.10626665093518e+03 2.26545829029247e+03 2.03175907453581e+03 2.34554115339654e+03 2.82389541227626e+01 3.03732543541896e+01 2.72400226575533e+01 3.14469343159414e+01 8.00573389349817e+01 7.41599564727073e+00 1.07333775634326e+00 6.40917751735053e+03 -3.92733418621808e+02 2.40654183293916e+01 5.49969914403385e+01 -5.26542115928809e+00 1.15205393919199e+00
746 2.19412460828200e+03 -1.34030362421500e+02 2.90476365785200e+01 2.47389764614824e-02 -1.51120586704768e-03 3.27515034864120e-04 2.20499205783985e+03 -1.28815394869623e+02 2.87208385667821e+01 2.48615080523471e-02 -1.45240658143450e-03 3.23830354290589e-04 2.11427103377680e+03 2.27395658341096e+03 2.03953043752620e+03 2.35428601632822e+03 2.79904689030984e+01 3.01045183035315e+01 2.70009910633465e+01 3.11679857862496e+01 8.03057018881704e+01 7.39735621389554e+00 1.06315331172419e+00 6.44900575575169e+03 -3.93944161347580e+02 2.40644849977745e+01 5.47208789552590e+01 -5.21535868467121e+00 1.13029496423010e+00
747 2.20236517813800e+03 -1.34081022377100e+02 2.87872416477400e+01 2.47654942914629e-02 -1.50773487850048e-03 3.23711197294183e-04 2.24984480394713e+03 -1.42720475503492e+02 2.94527668938444e+01 2.52994004817755e-02 -1.60488512824422e-03 3.31194997822285e-04 2.12226530961698e+03 2.28244339508492e+03 2.04729232909742e+03 2.36301869852452e+03 2.77402516689863e+01 2.98339486175260e+01 2.67602755375562e+01 3.08871530333881e+01 8.05533735511306e+01 7.37789064222551e+00 1.05291776903120e+00 6.48884599046799e+03 -3.95043979575207e+02 2.40504622898841e+01 5.44332703286388e+01 -5.16364253049580e+00 1.10863582834164e+00
748 2.21058777061400e+03 -1.34095902929600e+02 2.85251319063600e+01 2.47915805754424e-02 -1.50387576847605e-03 3.19907273297375e-04 2.27008102822733e+03 -1.27607046159368e+02 2.74857083038884e+01 2.54587931192840e-02 -1.43110371318823e-03 3.08250213426129e-04 2.13024255485662e+03 2.29091128291503e+03 2.05503806855560e+03 2.37173149668854e+03 2.74883678800722e+01 2.95616158741205e+01 2.65179391460479e+01 3.06045092119179e+01 8.08000930208742e+01 7.35760023256687e+00 1.04263370226934e+00 6.52865503218193e+03 -3.96033083641437e+02 2.40236622344752e+01 5.41342811822681e+01 -5.11035847584407e+00 1.08708503710787e+00
749 2.21879263240100e+03 -1.34075026262300e+02 2.82614495204400e+01 2.48172412417984e-02 -1.49963192714019e-03 3.16104894323856e-04 2.17488823701170e+03 -1.34216207745666e+02 2.87845314328978e+01 2.43261696761008e-02 -1.50121104493624e-03 3.21955576276337e-04 2.13820300507382e+03 2.29936050470147e+03 2.06276788116432e+03 2.38042467988786e+03 2.72349544567199e+01 2.92876674836415e+01 2.62741139007778e+01 3.03202070105405e+01 8.10458714740276e+01 7.33649474882754e+00 1.03230638684100e+00 6.56843328298460e+03 -3.96910847844912e+02 2.39841396494149e+01 5.38241551995740e+01 -5.05557649988480e+00 1.06565647631271e+00
750 2.22697258317600e+03 -1.34018413714300e+02 2.79963365218800e+01 2.48423993148748e-02 -1.49500670739672e-03 3.12305672950078e-04 2.17854054620123e+03 -1.28268900339660e+02 2.76206069412214e+01 2.43021286302469e-02 -1.43086954280024e-03 3.08114321719422e-04 2.14613973844525e+03 2.30778362169068e+03 2.07047508715864e+03 2.38909054944110e+03 2.69801482040716e+01 2.90122507033258e+01 2.60289317157171e+01 3.00343989453193e+01 8.12904489483848e+01 7.31457476886814e+00 1.02194107909851e+00 6.60813709022996e+03 -3.97675327091918e+02 2.39319589800097e+01 5.35030040493624e+01 -4.99936656958572e+00 1.04436356914904e+00
751 2.23512044145800e+03 -1.33925342832400e+02 2.77298605259900e+01 2.48669786340653e-02 -1.48999515954530e-03 3.08510376637957e-04 2.18966808011792e+03 -1.35816902625075e+02 2.92669876753924e+01 2.43612954156817e-02 -1.51103983171464e-03 3.25611785256947e-04 2.15404583134668e+03 2.31617319461356e+03 2.07815300439448e+03 2.39772140682185e+03 2.67240142239807e+01 2.87354356612543e+01 2.57824553409458e+01 2.97471576735162e+01 8.15335661284355e+01 7.29182480253710e+00 1.01154030672874e+00 6.64772240561997e+03 -3.98322383757775e+02 2.38669294115447e+01 5.31707089508951e+01 -4.94175792100844e+00 1.02321379213687e+00
752 2.24322901719800e+03 -1.33795832725400e+02 2.74621632968100e+01 2.48909037634875e-02 -1.48460062293749e-03 3.04720587384298e-04 2.16771245809771e+03 -1.30081510044566e+02 2.81170533273495e+01 2.40529708593104e-02 -1.44338644119930e-03 3.11987257261004e-04 2.16191435121495e+03 2.32452177600372e+03 2.08579494146481e+03 2.40630954570317e+03 2.64666890859595e+01 2.84573693145885e+01 2.55348164841927e+01 2.94586353779055e+01 8.17749640719512e+01 7.26824643710640e+00 1.00110929366445e+00 6.68714474896891e+03 -3.98850092159185e+02 2.37891360195126e+01 5.28274062705098e+01 -4.88282127141211e+00 1.00221981786134e+00
753 2.25130597584000e+03 -1.33631387188600e+02 2.71933121871200e+01 2.49142644794183e-02 -1.47884284006580e-03 3.00937046839450e-04 2.17089394546297e+03 -1.31460715030797e+02 2.78837443467773e+01 2.40243780696455e-02 -1.45482091642771e-03 3.08577771652246e-04 2.16975268216240e+03 2.33283731256001e+03 2.09340801925690e+03 2.41486319588677e+03 2.62082376576414e+01 2.81781215005822e+01 2.52860776871670e+01 2.91689043957844e+01 8.20149257043608e+01 7.24387089031670e+00 9.90650539116519e-01 6.72644803829183e+03 -3.99263623805553e+02 2.36992005865289e+01 5.24736654755776e+01 -4.82266759099868e+00 9.81388490651850e-01
754 2.25934412736700e+03 -1.33430537782600e+02 2.69234487096600e+01 2.49369856569551e-02 -1.47270854695435e-03 2.97161307202450e-04 2.23572113402079e+03 -1.21929429194892e+02 2.57923009217603e+01 2.46762523586880e-02 -1.34576773416856e-03 2.84676526410945e-04 2.17755389137194e+03 2.34111235713377e+03 2.10098554585135e+03 2.42337465166031e+03 2.59487962885920e+01 2.78978388937578e+01 2.50363704662319e+01 2.88781165949706e+01 8.22531923710299e+01 7.21868223361584e+00 9.80169235479858e-01 6.76558765522565e+03 -3.99556662624967e+02 2.35966976977519e+01 5.21093731899210e+01 -4.76131244571528e+00 9.60731730181170e-01
755 2.26733628298700e+03 -1.33194043665800e+02 2.66527885399500e+01 2.49589929915188e-02 -1.46620914917269e-03 2.93395720504535e-04 2.23976735942591e+03 -1.31148938537689e+02 2.64257113894307e+01 2.46555123939964e-02 -1.44369649194472e-03 2.90896039689266e-04 2.18531104653067e+03 2.34933946452185e+03 2.10852082918109e+03 2.43183621000535e+03 2.56885728218784e+01 2.76167449999825e+01 2.47858953318597e+01 2.85865033587687e+01 8.24895061424532e+01 7.19270016406929e+00 9.69673259532237e-01 6.80451862362582e+03 -3.99729567016841e+02 2.34820030020477e+01 5.17349356502024e+01 -4.69886522912698e+00 9.40266230251873e-01
756 2.27527525512700e+03 -1.32921920243100e+02 2.63813986687300e+01 2.49802129905769e-02 -1.45934777399220e-03 2.89640981349052e-04 2.21464090412784e+03 -1.26489294278305e+02 2.55422357242656e+01 2.43145093579763e-02 -1.38872406974929e-03 2.80427823934676e-04 2.19301721582751e+03 2.35751119145683e+03 2.11600717703242e+03 2.44024017058369e+03 2.54276318119166e+01 2.73349092456701e+01 2.45347145570175e+01 2.82941365632813e+01 8.27236098105226e+01 7.16592050614618e+00 9.59165061374540e-01 6.84319562008359e+03 -3.99780510235413e+02 2.33552371197793e+01 5.13504167004063e+01 -4.63538158591719e+00 9.19997614961625e-01
757 2.28317614247700e+03 -1.32614181989500e+02 2.61094945389000e+01 2.50008169871254e-02 -1.45212751313173e-03 2.85899402349753e-04 2.28848789121804e+03 -1.39667953532645e+02 2.64596474980852e+01 2.50589807247739e-02 -1.52936642962980e-03 2.89733583115408e-04 2.20068694786125e+03 2.36564318657093e+03 2.12345862316543e+03 2.44860273542795e+03 2.51661809082654e+01 2.70525548649744e+01 2.42830284942312e+01 2.80012472796920e+01 8.29560565813785e+01 7.13838211362086e+00 9.48652478441882e-01 6.88170732353288e+03 -3.99711599303669e+02 2.32165297224346e+01 5.09564992000622e+01 -4.57094291806672e+00 8.99941524853926e-01
758 2.29102433153200e+03 -1.32272328109200e+02 2.58370686310800e+01 2.50206500329777e-02 -1.44456764824248e-03 2.82170836511367e-04 2.29720881103279e+03 -1.28548581923702e+02 2.52768292344516e+01 2.50881917413287e-02 -1.40390000938914e-03 2.76052370773225e-04 2.20830615326090e+03 2.37372031236473e+03 2.13086156905920e+03 2.45690824006192e+03 2.49042128688720e+01 2.67696740612724e+01 2.40308301598430e+01 2.77078274311899e+01 8.31863193558799e+01 7.11008279175885e+00 9.38135231819029e-01 6.91996372797844e+03 -3.99524221603904e+02 2.30665376182305e+01 5.05532773056653e+01 -4.50564168668442e+00 8.80097713180143e-01
759 2.29882006669200e+03 -1.31894885515000e+02 2.55644104512500e+01 2.50397206623826e-02 -1.43665489002146e-03 2.78458373438046e-04 2.18881633533794e+03 -1.26949308053312e+02 2.50068342015422e+01 2.38415134843458e-02 -1.38278556812493e-03 2.72385017048412e-04 2.21587506308882e+03 2.38174282657104e+03 2.13821623345507e+03 2.46515695580095e+03 2.46420067591492e+01 2.64865667783211e+01 2.37783888428598e+01 2.74141874598892e+01 8.34144115487058e+01 7.08103386017648e+00 9.27623821141071e-01 6.95796405401687e+03 -3.99213442417282e+02 2.29048858788874e+01 5.01410405289659e+01 -4.43951940714429e+00 8.60485953548361e-01
760 2.30655616520800e+03 -1.31482608663100e+02 2.52915865493700e+01 2.50579566488336e-02 -1.42840029549352e-03 2.74762647835712e-04 2.21377531071589e+03 -1.33978418410271e+02 2.66030320763323e+01 2.40500043324003e-02 -1.45551426453173e-03 2.89009925078564e-04 2.22338674910650e+03 2.38970329199727e+03 2.14551592657566e+03 2.47334118967619e+03 2.43796267552317e+01 2.62033019392844e+01 2.35257664948934e+01 2.71203986741749e+01 8.36400772105752e+01 7.05124201686514e+00 9.17120633642359e-01 6.99566251579097e+03 -3.98779778605528e+02 2.27319873515502e+01 4.97200139804043e+01 -4.37265453877678e+00 8.41110256652562e-01
761 2.31423287387800e+03 -1.31035508203400e+02 2.50187376566700e+01 2.50753670411260e-02 -1.41980675355057e-03 2.71085091188500e-04 2.29883534999666e+03 -1.32080159735347e+02 2.56854574526327e+01 2.49085305195264e-02 -1.43112584805023e-03 2.78309188549684e-04 2.23084144424267e+03 2.39760196930557e+03 2.15276086854537e+03 2.48146121648159e+03 2.41172085476462e+01 2.59200253147617e+01 2.32730940847058e+01 2.68266119114973e+01 8.38633302909091e+01 7.02072205124886e+00 9.06630738525033e-01 7.03305816748211e+03 -3.98222824333052e+02 2.25480031649682e+01 4.92905381208920e+01 -4.30511228292750e+00 8.21979296038447e-01
762 2.32184301233700e+03 -1.30553593805300e+02 2.47459301218700e+01 2.50918805459411e-02 -1.41087711925393e-03 2.67426315783164e-04 2.28079912838706e+03 -1.30482586427408e+02 2.46218726229283e+01 2.46483241867293e-02 -1.41010975098895e-03 2.66085641186418e-04 2.23823222176226e+03 2.40543142456752e+03 2.15994437029216e+03 2.48950934742478e+03 2.38548161361255e+01 2.56368056018503e+01 2.30204334101717e+01 2.65328982285966e+01 8.40839157262155e+01 6.98947244861743e+00 8.96156498039813e-01 7.07010488385332e+03 -3.97540917393205e+02 2.23531027612843e+01 4.88527251099822e+01 -4.23694440585568e+00 8.03096468978981e-01
763 2.32938682975300e+03 -1.30037616983300e+02 2.44733044816300e+01 2.51075067133760e-02 -1.40162222079096e-03 2.63787726762487e-04 2.31765185433806e+03 -1.37350938307043e+02 2.61015330725586e+01 2.49810202190554e-02 -1.48044951640696e-03 2.81337735956102e-04 2.24555931643932e+03 2.41319192133968e+03 2.16706665330860e+03 2.49748586073609e+03 2.35925850446264e+01 2.53537883485922e+01 2.27679152989939e+01 2.62394082114911e+01 8.43018479936805e+01 6.95751796982363e+00 8.85702953224047e-01 7.10680157514962e+03 -3.96735969054832e+02 2.21477168705900e+01 4.84070563004187e+01 -4.16823863064555e+00 7.84469721349798e-01
764 2.33684971975900e+03 -1.29486099748800e+02 2.42009268968600e+01 2.51220953089629e-02 -1.39202881193863e-03 2.60169914619440e-04 2.24779003329822e+03 -1.30390409598214e+02 2.47204983138335e+01 2.41646670616365e-02 -1.40175051463681e-03 2.65755520979428e-04 2.25280864181354e+03 2.42086833348583e+03 2.17411411816015e+03 2.50537510768956e+03 2.33305791091977e+01 2.50710420401600e+01 2.25156014073731e+01 2.59462126801465e+01 8.45166042466113e+01 6.92483135181926e+00 8.75272442061027e-01 7.14305639337831e+03 -3.95800596351431e+02 2.19315239086412e+01 4.79532892511390e+01 -4.09899755942476e+00 7.66101847831474e-01
765 2.34423193384000e+03 -1.28900534447200e+02 2.39290120067500e+01 2.51356569964072e-02 -1.38211564041407e-03 2.56575055301516e-04 2.31649418906178e+03 -1.21928010480930e+02 2.24380572216160e+01 2.48382434049726e-02 -1.30735385243335e-03 2.40588527887016e-04 2.25998043393553e+03 2.42846092791945e+03 2.18108698667351e+03 2.51317737095088e+03 2.30690053138550e+01 2.47887889688964e+01 2.22636915479536e+01 2.56535416212279e+01 8.47282000087806e+01 6.89145581198312e+00 8.64872663004515e-01 7.17886787672792e+03 -3.94739058315048e+02 2.17052224438586e+01 4.74921632085159e+01 -4.02934348329659e+00 7.48004723212522e-01
766 2.35153372460900e+03 -1.28280183904700e+02 2.36576257982400e+01 2.51482023614444e-02 -1.37187742197281e-03 2.53003711892073e-04 2.38151800337880e+03 -1.29164781669844e+02 2.29854342079641e+01 2.54688657235190e-02 -1.38133764930168e-03 2.45815037555399e-04 2.26707492999227e+03 2.43596997267370e+03 2.18798548181721e+03 2.52089293429474e+03 2.28079273493074e+01 2.45070974173868e+01 2.20122472576575e+01 2.53614656225645e+01 8.49366507955619e+01 6.85739136753123e+00 8.54505925238771e-01 7.21423464836722e+03 -3.93548830594842e+02 2.14687613602396e+01 4.70238163674918e+01 -3.95930148486210e+00 7.30180376268168e-01
767 2.35874048907800e+03 -1.27625052761500e+02 2.33867598930900e+01 2.51595834427024e-02 -1.36131684651218e-03 2.49455647922778e-04 2.24348004957953e+03 -1.17380292188483e+02 2.11948680201058e+01 2.39301541525231e-02 -1.25204076901199e-03 2.26075760762201e-04 2.27407804483155e+03 2.44338034706117e+03 2.19479600359081e+03 2.52850615659250e+03 2.25473372161478e+01 2.42259586286878e+01 2.17612608881597e+01 2.50699755425588e+01 8.51414358434248e+01 6.82262243660105e+00 8.44171847748045e-01 7.24906409748003e+03 -3.92227204389923e+02 2.12223506089585e+01 4.65481769124121e+01 -3.88890744661387e+00 7.12626108530349e-01
768 2.36585991037100e+03 -1.26935144630200e+02 2.31167029690000e+01 2.51698909360240e-02 -1.35043657161829e-03 2.45933789223788e-04 2.26038522401035e+03 -1.19425564208481e+02 2.28295371442316e+01 2.40477677111571e-02 -1.27054370925505e-03 2.42878691811516e-04 2.28099717867736e+03 2.45070001702847e+03 2.20152568754934e+03 2.53602528849574e+03 2.22875133144899e+01 2.39456715553739e+01 2.15110012112767e+01 2.47793806636824e+01 8.53428396552240e+01 6.78719237410416e+00 8.33880766224843e-01 7.28340028041727e+03 -3.90775237342531e+02 2.09662081226933e+01 4.60659803230977e+01 -3.81824597884631e+00 6.95357132279731e-01
769 2.37286995923600e+03 -1.26211947759000e+02 2.28475950622800e+01 2.51788993358206e-02 -1.33925498750252e-03 2.42439453497892e-04 2.34966644277539e+03 -1.26196749130725e+02 2.25118495828871e+01 2.49326831439367e-02 -1.33909371244828e-03 2.38876804986461e-04 2.28781108520471e+03 2.45790617060331e+03 2.20815402081263e+03 2.54342673109832e+03 2.20285907579118e+01 2.36663811552087e+01 2.12615987261756e+01 2.44898308887619e+01 8.55400748768352e+01 6.75111367710672e+00 8.23637631205168e-01 7.31710440993458e+03 -3.89193683345022e+02 2.07010471177655e+01 4.55775358812174e+01 -3.74741971984311e+00 6.78378947537260e-01
770 2.37978574914000e+03 -1.25455463686600e+02 2.25795018549800e+01 2.51867786029811e-02 -1.32777456523161e-03 2.38973157307333e-04 2.41767680329981e+03 -1.25482679294817e+02 2.25481828985153e+01 2.55878036080690e-02 -1.32806260523645e-03 2.38641688971228e-04 2.29453432821512e+03 2.46501447076958e+03 2.21469505270201e+03 2.55072670031556e+03 2.17706329819696e+01 2.33881553561736e+01 2.10131147599196e+01 2.42013963997118e+01 8.57336942858439e+01 6.71441397540272e+00 8.13444701843880e-01 7.35026633589855e+03 -3.87484911918393e+02 2.04270906798440e+01 4.50833550330833e+01 -3.67647225831143e+00 6.61692282957878e-01
771 2.38659268106100e+03 -1.24665692906400e+02 2.23125632457200e+01 2.51933833119373e-02 -1.31599774530563e-03 2.35536194752497e-04 2.26699288500756e+03 -1.22556479446841e+02 2.23351192183720e+01 2.39308622584225e-02 -1.29373243644290e-03 2.35774300429056e-04 2.30115282416204e+03 2.47200980316504e+03 2.22113518268552e+03 2.55790956379162e+03 2.15137749875092e+01 2.31111389533965e+01 2.07656797216575e+01 2.39142269109614e+01 8.59231794930694e+01 6.67709713383436e+00 8.03306903572735e-01 7.38279277419823e+03 -3.85646442345836e+02 2.01445690056161e+01 4.45836261346590e+01 -3.60545840252178e+00 6.45301981327615e-01
772 2.39328358516900e+03 -1.23842634862000e+02 2.20469933534200e+01 2.51986477861101e-02 -1.30392693792325e-03 2.32130627435157e-04 2.34702326819472e+03 -1.27051648964331e+02 2.24153207203660e+01 2.47115774526434e-02 -1.33771433219879e-03 2.36008710102490e-04 2.30765965157336e+03 2.47888474966561e+03 2.22746772217871e+03 2.56496765400354e+03 2.12582233528338e+01 2.28355536044479e+01 2.05194931224015e+01 2.36285516559710e+01 8.61082807382743e+01 6.63918472324775e+00 7.93231819612009e-01 7.41463601170147e+03 -3.83677081112366e+02 1.98537193651297e+01 4.40787737894063e+01 -3.53444368630749e+00 6.29216719644978e-01
773 2.39986614910300e+03 -1.22987773612900e+02 2.17828576706200e+01 2.52026630819246e-02 -1.29158012530010e-03 2.28756934231247e-04 2.43510070715728e+03 -1.29564315882342e+02 2.33827530901924e+01 2.55726856749823e-02 -1.36064496840510e-03 2.45558548454969e-04 2.31406221460603e+03 2.48564728131470e+03 2.23369981013534e+03 2.57190922729584e+03 2.10040413631250e+01 2.25614670086827e+01 2.02746161744293e+01 2.33444405476028e+01 8.62892831097054e+01 6.60071567747659e+00 7.83221669750664e-01 7.44584037958690e+03 -3.81582669227074e+02 1.95552585109993e+01 4.35694474548853e+01 -3.46351023637522e+00 6.13436183967018e-01
774 2.40632577612400e+03 -1.22101106490700e+02 2.15202959178500e+01 2.52052859228638e-02 -1.27895953703882e-03 2.25416365953475e-04 2.52735181973617e+03 -1.22400497764291e+02 2.17418177445486e+01 2.64729846125530e-02 -1.28209553912489e-03 2.27736717185837e-04 2.32034643001545e+03 2.49228228801308e+03 2.23981784453270e+03 2.57871865763106e+03 2.07513638848567e+01 2.22890237394415e+01 2.00311791922312e+01 2.30620430332961e+01 8.64656702109798e+01 6.56169622250657e+00 7.73281335444427e-01 7.47631212503392e+03 -3.79360929427802e+02 1.92494257020701e+01 4.30558573164569e+01 -3.39270748040901e+00 5.97964023746716e-01
775 2.41266272678000e+03 -1.21182629766000e+02 2.12594477640300e+01 2.52065297573727e-02 -1.26606737417877e-03 2.22110159344372e-04 2.26483529874718e+03 -1.18676501807249e+02 2.12882128258319e+01 2.36620882478716e-02 -1.23988435727100e-03 2.22410685140304e-04 2.32651254001346e+03 2.49879004863762e+03 2.24582205072240e+03 2.58539624263819e+03 2.05003257470587e+01 2.20183683042961e+01 1.97893124657176e+01 2.27815084800694e+01 8.66374604847333e+01 6.52214928645212e+00 7.63415683899423e-01 7.50604955924372e+03 -3.77012010276736e+02 1.89364664822739e+01 4.25384313147679e+01 -3.32208354276991e+00 5.82803506423624e-01
776 2.41888469043700e+03 -1.20233824315300e+02 2.10004528303800e+01 2.52064853366692e-02 -1.25292129118720e-03 2.18839537256633e-04 2.43527184205522e+03 -1.27844108616341e+02 2.25352695811530e+01 2.53772510199643e-02 -1.33222582372671e-03 2.34833410828112e-04 2.33256795059514e+03 2.50517853584767e+03 2.25171956959218e+03 2.59195024015761e+03 2.02510617450225e+01 2.17496451491637e+01 1.95491462637358e+01 2.25029861788444e+01 8.68049389073733e+01 6.48212393313853e+00 7.53629568278005e-01 7.53509741871281e+03 -3.74541863372790e+02 1.86170927359722e+01 4.20179306845673e+01 -3.25172537817084e+00 5.67957526182892e-01
777 2.42498450011900e+03 -1.19253941444400e+02 2.07433764109100e+01 2.52050880905829e-02 -1.23951559241217e-03 2.15604936735657e-04 2.46243726790078e+03 -1.21670772379456e+02 2.10455321123033e+01 2.55943690575869e-02 -1.26463593302265e-03 2.18745518075586e-04 2.33850574195467e+03 2.51144033556028e+03 2.25750371314469e+03 2.59837298793520e+03 2.00036350096505e+01 2.14829217306389e+01 1.93107416845301e+01 2.22265457540185e+01 8.69678569133421e+01 6.44161853932561e+00 7.43925163857785e-01 7.56340813609955e+03 -3.71947214894880e+02 1.82913216077484e+01 4.14944494061834e+01 -3.18164552522934e+00 5.53424649420833e-01
778 2.43096241742800e+03 -1.18244459896600e+02 2.04883580433700e+01 2.52023511513498e-02 -1.22586773808241e-03 2.12407559336070e-04 2.39104389957725e+03 -1.17613809563066e+02 1.94933544308562e+01 2.47885066191992e-02 -1.21932963981915e-03 2.02092126131649e-04 2.34432615749560e+03 2.51757572756873e+03 2.26317470804382e+03 2.60466478436944e+03 1.97581802749653e+01 2.12183423889784e+01 1.90742289558553e+01 2.19523363679063e+01 8.71262328067290e+01 6.40067537653942e+00 7.34307301469066e-01 7.59098044309234e+03 -3.69232932662437e+02 1.79598616522012e+01 4.09686452758380e+01 -3.11192656519775e+00 5.39207212990782e-01
779 2.43681870405600e+03 -1.17204628841200e+02 2.02354629463100e+01 2.51982875441642e-02 -1.21197195923186e-03 2.09247825068681e-04 2.42868092028330e+03 -1.09615329176305e+02 1.98809107627300e+01 2.51141375763659e-02 -1.13349367322046e-03 2.05581525291685e-04 2.35002944076647e+03 2.52358499170132e+03 2.26873278114720e+03 2.61082592783575e+03 1.95147606148195e+01 2.09559744869155e+01 1.88396691356519e+01 2.16804275320318e+01 8.72800848362775e+01 6.35930170396321e+00 7.24778137871146e-01 7.61781320902779e+03 -3.66396961850132e+02 1.76227389631860e+01 4.04407181620294e+01 -3.04257847857873e+00 5.25303349135965e-01
780 2.44254619328500e+03 -1.16136667718800e+02 1.99849048735800e+01 2.51928335693157e-02 -1.19785318663706e-03 2.06127680926917e-04 2.63635508188726e+03 -1.37703298418510e+02 2.13625083443722e+01 2.71918111478089e-02 -1.42029505461990e-03 2.20336515568240e-04 2.35560867136304e+03 2.52946071498909e+03 2.27417124308337e+03 2.61684875808181e+03 1.92735823568015e+01 2.06960392026519e+01 1.86072615880101e+01 2.14110478821592e+01 8.74291652979178e+01 6.31755122641424e+00 7.15345141254209e-01 7.64385894469064e+03 -3.63445452450173e+02 1.72808783969596e+01 3.99114534983681e+01 -2.97370948967942e+00 5.11718671116005e-01
781 2.44815257488600e+03 -1.15039823560400e+02 1.97366747009800e+01 2.51860790452557e-02 -1.18350552137439e-03 2.03046760323968e-04 2.50291271244183e+03 -1.11637240452556e+02 1.93104536283229e+01 2.57494398288762e-02 -1.14850046164432e-03 1.98661887527714e-04 2.36107125630252e+03 2.53521086987962e+03 2.27949723631486e+03 2.62274153208996e+03 1.90346368970272e+01 2.04385268918677e+01 1.83769981889402e+01 2.11441872433216e+01 8.75737585471771e+01 6.27543076975095e+00 7.06007788288394e-01 7.66916318607927e+03 -3.60377530727862e+02 1.69343071078797e+01 3.93810313459370e+01 -2.90531487558509e+00 4.98446997123869e-01
782 2.45362325319600e+03 -1.13914827998900e+02 1.94909118478000e+01 2.51778842177527e-02 -1.16893836342054e-03 2.00006223923381e-04 2.38623731599077e+03 -1.21321652572133e+02 2.03029005959098e+01 2.44864026210372e-02 -1.24494358194101e-03 2.08338456127080e-04 2.36640311009393e+03 2.54082035067040e+03 2.28469715356614e+03 2.62848863166644e+03 1.87980588931581e+01 2.01835817342807e+01 1.81490091280611e+01 2.08799945737482e+01 8.77133515297434e+01 6.23296105888022e+00 6.96770867456706e-01 7.69363203658035e+03 -3.57193700782011e+02 1.65834990901201e+01 3.88498035615172e+01 -2.83744903601771e+00 4.85489641736371e-01
