# ell observed_D_uK2 conditional_model_D_coadded_uK2 error_minus_uK2 error_plus_uK2 residual_over_quoted_error
65 1.85306150000000e+03 1.74348025568869e+03 3.01918465000000e+02 3.01918465000000e+02 3.62949792790268e-01
66 1.62661637000000e+03 1.76677126573359e+03 3.03531851000000e+02 3.03531851000000e+02 -4.61746914769711e-01
67 1.65998919000000e+03 1.79031276086473e+03 3.05191672000000e+02 3.05191672000000e+02 -4.27022041626133e-01
68 1.76642864000000e+03 1.81406723646953e+03 3.06883106000000e+02 3.06883106000000e+02 -1.55233688457027e-01
69 2.27766406000000e+03 1.83798976436926e+03 3.08612177000000e+02 3.08612177000000e+02 1.42468226595847e+00
70 1.86080088000000e+03 1.86205025818817e+03 3.10378689000000e+02 3.10378689000000e+02 -4.02533496162380e-03
71 1.78370715000000e+03 1.88622652120050e+03 3.12174729000000e+02 3.12174729000000e+02 -3.28403812598489e-01
72 1.51190025000000e+03 1.91063182556852e+03 3.14003729000000e+02 3.14003729000000e+02 -1.26983070181476e+00
73 2.70112709000000e+03 1.93537991140176e+03 3.15856436000000e+02 3.15856436000000e+02 2.42435198818694e+00
74 2.01369273000000e+03 1.96048061219249e+03 3.17743906000000e+02 3.17743906000000e+02 1.67468570766273e-01
75 1.87990931000000e+03 1.98593633812963e+03 3.19649616000000e+02 3.19649616000000e+02 -3.31697655252701e-01
76 1.87545523000000e+03 2.01170306901164e+03 3.21580850000000e+02 3.21580850000000e+02 -4.23681444375917e-01
77 1.91945593000000e+03 2.03765497247391e+03 3.23540646000000e+02 3.23540646000000e+02 -3.65329809207052e-01
78 1.66460733000000e+03 2.06377564350867e+03 3.25525051000000e+02 3.25525051000000e+02 -1.22622917124947e+00
79 1.49646853000000e+03 2.09010805030366e+03 3.27537838000000e+02 3.27537838000000e+02 -1.81243035592017e+00
80 2.31810662000000e+03 2.11667289470040e+03 3.29578505000000e+02 3.29578505000000e+02 6.11185869963209e-01
81 2.04553573000000e+03 2.14349359177139e+03 3.31640785000000e+02 3.31640785000000e+02 -2.95373386513338e-01
82 2.82142920000000e+03 2.17058214685557e+03 3.33735134000000e+02 3.33735134000000e+02 1.95019039602954e+00
83 2.13583446000000e+03 2.19791616985715e+03 3.35851411000000e+02 3.35851411000000e+02 -1.84848739126337e-01
84 1.54266778000000e+03 2.22549553560082e+03 3.37999830000000e+02 3.37999830000000e+02 -2.02020147643512e+00
85 2.26867460000000e+03 2.25331269682682e+03 3.40170699000000e+02 3.40170699000000e+02 4.51593956161899e-02
86 2.52592485000000e+03 2.28136425284004e+03 3.42359180000000e+02 3.42359180000000e+02 7.14339242078910e-01
87 2.18032949000000e+03 2.30961885909618e+03 3.44568643000000e+02 3.44568643000000e+02 -3.75220937025833e-01
88 1.77461013000000e+03 2.33805673969200e+03 3.46801199000000e+02 3.46801199000000e+02 -1.62469625628946e+00
89 2.93003972000000e+03 2.36668780613678e+03 3.49061349000000e+02 3.49061349000000e+02 1.61390516445641e+00
90 2.25550107000000e+03 2.39551454855377e+03 3.51334248000000e+02 3.51334248000000e+02 -3.98519299928238e-01
91 2.41451603000000e+03 2.42454651135486e+03 3.53628468000000e+02 3.53628468000000e+02 -2.83644623171496e-02
92 2.58201377000000e+03 2.45378434572326e+03 3.55935659000000e+02 3.55935659000000e+02 3.60260122958753e-01
93 2.81458993000000e+03 2.48324317915730e+03 3.58270995000000e+02 3.58270995000000e+02 9.24849500704616e-01
94 2.15376783000000e+03 2.51291587465751e+03 3.60612030000000e+02 3.60612030000000e+02 -9.95940275917877e-01
95 2.15869964000000e+03 2.54281756155258e+03 3.62982588000000e+02 3.62982588000000e+02 -1.05822685233755e+00
96 2.36799928000000e+03 2.57294110486024e+03 3.65357768000000e+02 3.65357768000000e+02 -5.60934631230386e-01
97 2.66332976000000e+03 2.60328679251290e+03 3.67750353000000e+02 3.67750353000000e+02 1.63270998918940e-01
98 2.22254729000000e+03 2.63386233542560e+03 3.70156291000000e+02 3.70156291000000e+02 -1.11119290804003e+00
99 3.01383617000000e+03 2.66464575860754e+03 3.72583442000000e+02 3.72583442000000e+02 9.37213982237203e-01
100 2.91908745000000e+03 2.69565219729919e+03 3.75021104000000e+02 3.75021104000000e+02 5.95793810848600e-01
101 2.78238348000000e+03 2.72687452270082e+03 3.77469527000000e+02 3.77469527000000e+02 1.47055466279221e-01
102 2.89676227000000e+03 2.75831302913917e+03 3.79929188000000e+02 3.79929188000000e+02 3.64408014002931e-01
