step,model_time,energy,electric_energy,magnetic_energy,rho,mean_pressure,w_mean_stress,anisotropic_stress_frobenius
0,0.0,10.013344931523935,1.2865649690242913,8.726779962499645,0.5737136134148483,0.19123787113828283,0.3333333333333334,0.8141739379493022
1,0.025,10.013344931523935,1.2892682255198107,8.724076706004125,0.5737136134148483,0.1912378711382827,0.3333333333333332,0.8124627982667529
2,0.05,10.013344931523935,1.3125044020417698,8.700840529482166,0.5737136134148483,0.1912378711382828,0.33333333333333337,0.8051237461090268
3,0.07500000000000001,10.013344931523935,1.356896616037599,8.656448315486337,0.5737136134148483,0.19123787113828275,0.3333333333333333,0.7922189310185183
4,0.1,10.013344931523935,1.423392984001914,8.589951947522021,0.5737136134148483,0.19123787113828283,0.3333333333333334,0.7738606816112685
5,0.125,10.013344931523934,1.5132045242155547,8.500140407308379,0.5737136134148482,0.19123787113828272,0.3333333333333333,0.7502109372584818
6,0.15000000000000002,10.013344931523932,1.6277222948543115,8.38562263666962,0.5737136134148481,0.1912378711382827,0.3333333333333333,0.7214803619227341
7,0.17500000000000002,10.013344931523934,1.7684173781837715,8.244927553340162,0.5737136134148482,0.1912378711382827,0.33333333333333326,0.6879271752074064
8,0.2,10.01334493152393,1.9367280916678113,8.076616839856118,0.573713613414848,0.19123787113828272,0.3333333333333334,0.6498557605190407
9,0.225,10.013344931523932,2.1339393970370484,7.879405534486884,0.5737136134148481,0.19123787113828264,0.33333333333333326,0.6076151513843542
10,0.25,10.013344931523932,2.3610598644263234,7.652285067097608,0.5737136134148481,0.19123787113828264,0.33333333333333326,0.5615975720614457
11,0.275,10.013344931523932,2.6187017147109266,7.394643216813005,0.5737136134148481,0.19123787113828264,0.33333333333333326,0.5122373567299264
12,0.30000000000000004,10.013344931523932,2.9069694022792043,7.106375529244727,0.5737136134148481,0.1912378711382827,0.3333333333333333,0.4600108846871459
13,0.325,10.013344931523932,3.225361915082246,6.787983016441686,0.5737136134148481,0.19123787113828264,0.33333333333333326,0.40543888037484177
14,0.35000000000000003,10.013344931523932,3.5726934704641637,6.440651461059769,0.5737136134148481,0.19123787113828272,0.33333333333333337,0.34909418515812296
15,0.375,10.013344931523934,3.9470365942201897,6.066308337303743,0.5737136134148482,0.1912378711382827,0.33333333333333326,0.29162292782698773
16,0.4,10.013344931523934,4.345690714576131,5.667654216947803,0.5737136134148482,0.1912378711382827,0.33333333333333326,0.23380209616960573
17,0.42500000000000004,10.013344931523932,4.765178416978534,5.248166514545399,0.5737136134148481,0.19123787113828272,0.33333333333333337,0.17671244071839923
18,0.45,10.013344931523934,5.2012704295588,4.812074501965133,0.5737136134148482,0.19123787113828272,0.3333333333333333,0.12236429622699667
19,0.47500000000000003,10.013344931523935,5.649039286246066,4.364305645277868,0.5737136134148483,0.19123787113828272,0.33333333333333326,0.07660247162802637
20,0.5,10.013344931523935,6.102940489855924,3.9104044416680117,0.5737136134148483,0.19123787113828275,0.3333333333333333,0.060115578130658535
21,0.525,10.013344931523939,6.55691891607141,3.456426015452528,0.5737136134148485,0.1912378711382828,0.33333333333333326,0.08753427870736193
22,0.55,10.01334493152394,7.004537204115591,3.0088077274083496,0.5737136134148486,0.1912378711382828,0.3333333333333332,0.13129723889389094
23,0.5750000000000001,10.013344931523942,7.439122010464623,2.57422292105932,0.5737136134148487,0.19123787113828292,0.33333333333333337,0.17714006767776255
24,0.6000000000000001,10.013344931523946,7.853923292278219,2.1594216392457275,0.5737136134148489,0.19123787113828294,0.3333333333333333,0.22128364934610473
25,0.625,10.01334493152395,8.242281264829757,1.7710636666941926,0.5737136134148492,0.19123787113828303,0.3333333333333333,0.262272599662524
26,0.65,10.01334493152395,8.597795361918234,1.4155495696057168,0.5737136134148492,0.19123787113828303,0.3333333333333333,0.29929304704906584
27,0.675,10.013344931523953,8.91448943142974,1.098855500094213,0.5737136134148493,0.19123787113828306,0.33333333333333326,0.33178006366476076
28,0.7000000000000001,10.013344931523957,9.186967522459256,0.8263774090647003,0.5737136134148495,0.19123787113828317,0.3333333333333333,0.3593010174896814
29,0.7250000000000001,10.01334493152396,9.410554959430037,0.6027899720939232,0.5737136134148497,0.19123787113828325,0.33333333333333337,0.3815148665438145
30,0.75,10.013344931523964,9.58141993767203,0.4319249938519345,0.5737136134148499,0.19123787113828328,0.3333333333333333,0.3981566860464687
31,0.775,10.013344931523966,9.696671591326144,0.3166733401978217,0.57371361341485,0.19123787113828336,0.33333333333333337,0.40903167510246
32,0.8,10.013344931523969,9.754431348773203,0.25891358275076604,0.5737136134148503,0.19123787113828342,0.3333333333333333,0.4140129436945414
33,0.8250000000000001,10.013344931523969,9.753875368014276,0.2594695635096926,0.5737136134148503,0.19123787113828336,0.33333333333333326,0.4130407822148898
34,0.8500000000000001,10.013344931523969,9.695246895420873,0.31809803610309717,0.5737136134148503,0.19123787113828342,0.3333333333333333,0.40612244369991257
35,0.875,10.013344931523973,9.579838474419423,0.43350645710454855,0.5737136134148504,0.19123787113828347,0.3333333333333333,0.3933320852631894
36,0.9,10.013344931523976,9.40994500359346,0.6033999279305162,0.5737136134148506,0.1912378711382835,0.3333333333333332,0.37481090473534384
37,0.925,10.01334493152398,9.18878966493839,0.8245552665855891,0.5737136134148508,0.19123787113828358,0.3333333333333333,0.3507679195020473
38,0.9500000000000001,10.013344931523983,8.920425673742034,1.0929192577819482,0.573713613414851,0.1912378711382837,0.33333333333333337,0.32148254207101623
39,0.9750000000000001,10.013344931523985,8.609617607059976,1.4037273244640087,0.5737136134148512,0.1912378711382837,0.3333333333333333,0.2873117215936028
40,1.0,10.013344931523989,8.261706718730572,1.7516382127934156,0.5737136134148514,0.19123787113828375,0.33333333333333326,0.2487087766183533
41,1.0250000000000001,10.013344931523989,7.882465122594729,2.1308798089292607,0.5737136134148514,0.1912378711382838,0.33333333333333337,0.20627471767308833
42,1.05,10.013344931523992,7.477944006667392,2.5354009248565994,0.5737136134148516,0.1912378711382838,0.3333333333333332,0.16091430792727762
43,1.075,10.013344931523992,7.054321121917477,2.9590238096065153,0.5737136134148516,0.19123787113828383,0.3333333333333333,0.11441453360174417
44,1.1,10.013344931523996,6.61775267053865,3.3955922609853455,0.5737136134148517,0.19123787113828386,0.33333333333333326,0.07229812549779888
45,1.125,10.013344931523996,6.174234408486957,3.839110523037039,0.5737136134148517,0.19123787113828394,0.33333333333333337,0.05678326843349295
46,1.1500000000000001,10.013344931523996,5.729476291367682,4.283868640156313,0.5737136134148517,0.19123787113828386,0.33333333333333326,0.08831450578635669
47,1.175,10.013344931523996,5.288794353847491,4.724550577676505,0.5737136134148517,0.19123787113828392,0.3333333333333333,0.13939600118779422
